,department,education,gender,no_of_trainings,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
0,Sales & Marketing,Master's & above,f,0.0,2.0,0.6,1.0,0.0,-0.44
1,Operations,Bachelor's,m,0.0,2.0,-0.2,0.0,0.0,0.0
2,Sales & Marketing,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,-0.4
3,Sales & Marketing,Bachelor's,m,1.0,-2.0,1.0,0.0,0.0,-0.4
4,Technology,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,0.52
5,Analytics,Bachelor's,m,1.0,0.0,0.4,0.0,0.0,1.0
6,Operations,Bachelor's,f,0.0,0.0,0.0,0.0,0.0,-0.04
7,Operations,Master's & above,m,0.0,0.0,0.2,0.0,0.0,0.12
8,Analytics,Bachelor's,m,0.0,1.0,0.0,0.0,0.0,0.92
9,Sales & Marketing,Master's & above,m,0.0,2.0,0.0,1.0,0.0,-0.24
10,Sales & Marketing,Bachelor's,f,0.0,2.0,-0.4,1.0,0.0,-0.4
11,Sales & Marketing,Bachelor's,m,0.0,2.0,0.0,1.0,0.0,-0.44
12,Technology,Master's & above,m,1.0,0.0,2.2,0.0,0.0,0.8
13,R&D,Master's & above,m,0.0,0.0,0.4,0.0,0.0,0.96
14,Operations,Bachelor's,m,0.0,-2.0,1.0,0.0,0.0,0.0
15,Technology,Bachelor's,m,0.0,0.0,0.0,1.0,0.0,0.68
16,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.2,0.0,0.0,-0.36
17,Sales & Marketing,Bachelor's,m,0.0,2.0,0.6,1.0,0.0,-0.56
18,Operations,Bachelor's,m,0.0,0.0,0.8,0.0,0.0,-0.04
19,Procurement,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,0.6
20,Finance,Bachelor's,f,0.0,0.0,-0.2,0.0,0.0,0.12
21,Procurement,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,0.4
22,Finance,Master's & above,m,1.0,2.0,0.4,0.0,0.0,-0.04
